*Newspaper Title*,*City*,*State*,*Start Date*,*End Date*,*Issues Available*
Washington Review and Examiner,Washington,PA,1853-06-04,1856-12-06,183
Washington Sentinel,Washington,DC,1853-10-02,1855-03-24,431
Weekly Alta California,San Francisco,CA,1850-10-05,1854-12-30,28
Weekly California Express,Marysville,CA,1857-11-07,1859-10-29,87
Weekly Champion and Press,Atchison,KS,1858-02-20,1860-12-29,145
Weekly Civilian,Cumberland,MD,1859-03-17,1860-12-27,89
Weekly Council Bluffs Bugle,Council Bluffs,IA,1855-01-12,1860-12-26,133
Weekly Eagle,Brattleboro,VT,1847-08-10,1852-12-09,602
Weekly Eastern Argus,Portland,ME,1843-08-01,1856-04-10,5
Weekly Herald,New York,NY,1844-08-24,1857-12-26,344
Weekly Houston Telegraph,Houston,TX,1843-01-04,1860-08-21,263
Weekly Journal,Galveston,TX,1852-03-19,1852-11-05,25
Weekly Pacific News,San Francisco,CA,1849-12-31,1851-05-15,18
Weekly Picayune,New Orleans,LA,1859-04-27,1859-06-27,3
Weekly St. Louis Pilot,St. Louis,MO,1855-01-06,1856-11-15,95
Weekly Wisconsin Patriot,Madison,WI,1854-07-08,1860-12-29,333
Whaleman's Shipping List and Merchants' Transcript,New Bedford,MA,1843-03-17,1860-12-25,928
Wisconsin Chief,Fort Atkinson,WI,1857-01-21,1860-12-12,106
Wisconsin Chief,Auburn,NY,1849-01-04,1856-07-15,362
Wisconsin Daily Patriot,Madison,WI,1859-09-10,1860-12-31,398
Wisconsin Democrat,Madison,WI,1846-01-10,1852-05-08,231
Wisconsin Democrat,Madison,WI,1843-01-03,1844-03-07,54
Wisconsin Free Democrat,Milwaukee,WI,1845-09-09,1860-11-28,443
Wisconsin State Journal,Madison,WI,1857-03-10,1857-03-10,1
Wooster Republican,Wooster,OH,1853-06-16,1860-12-27,322
