field_1,Join2,GISJOIN,County,Tract,CensusYEAR,STATEA,COUNTY_1,COUNTYA,TRACTA,Census_ID,Total_Resid,OnlyEnglis,Spanish,French,FrenchCreo,Italian,Portuguese,German,Yiddish,OtherWGerm,Scandinavi,Greek,Russian,Polish,SerboCroat,OtherSlavi,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndoE,Chinese,Japanese,Korean,MonKhmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacIs,Navajo,OtherAmerI,Hungarian,Arabic,Hebrew,African,OtherOther,P_English,P_Spanish,P_French,P_FrenchCr,P_Italian,P_Portugue,P_German,P_Yiddish,P_OtherWGe,P_Scandina,P_Greek,P_Russian,P_Polish,P_SerboCro,P_OtherSla,P_Armenian,P_Persian,P_Gujarati,P_Hindi,P_Urdu,P_OtherInd,P_OtherI_1,P_Chinese,P_Japanese,P_Korean,P_MonKhmer,P_Hmong,P_Thai,P_Laotian,P_Vietname,P_OtherAsi,P_Tagalog,P_OtherPac,P_Navajo,P_OtherAme,P_Hungaria,P_Arabic,P_Hebrew,P_African,P_OtherOth,LanguageCo
"231","36061019300",G3600610019300,"61","19300","2010","36",Manhattan,"61","19300","Census Tract 193, Manhattan","8715","4198","3428","42","82","62","23","97","0","0","0","0","59","17","0","0","0","0","0","0","0","27","0","144","16","82","0","0","0","0","0","16","68","45","0","0","39","120","52","98","0",0.48,0.39,0,0.01,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,"0",0,0,0,0,0.01,0.01,"0",0,0,0.01,0.01,0.01,0,"3"
"232","36061017401",G3600610017401,"61","17401","2010","36",Manhattan,"61","17401","Census Tract 174.01, Manhattan","5239","2746","2101","159","0","37","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0",0.52,0.4,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"4"
"233","36061002400",G3600610002400,"61","2400","2010","36",Manhattan,"61","2400","Census Tract 24, Manhattan","4291","1583","1821","46","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","24","787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.37,0.42,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.18,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"234","36061017800",G3600610017800,"61","17800","2010","36",Manhattan,"61","17800","Census Tract 178, Manhattan","4443","1725","1933","500","18","72","0","11","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","29","0","0","0","0","59","0","84","0",0.39,0.44,0.11,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0.01,0,0.02,0,"5"
"235","36061006800",G3600610006800,"61","6800","2010","36",Manhattan,"61","6800","Census Tract 68, Manhattan","5482","4505","411","42","0","0","17","17","0","0","0","14","16","0","29","16","0","11","0","20","0","102","17","49","72","30","0","0","0","0","12","0","0","0","0","0","0","0","88","0","14",0.82,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0.01,0.01,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0,0.02,0,0,"4"
"236","36061003200",G3600610003200,"61","3200","2010","36",Manhattan,"61","3200","Census Tract 32, Manhattan","8310","5306","778","199","0","13","0","58","17","0","0","26","143","268","0","306","13","0","0","171","0","85","0","694","12","121","0","0","0","0","0","23","0","0","0","0","12","11","44","10","0",0.64,0.09,0.02,0,0,0,0.01,0,0,0,0,0.02,0.03,0,0.04,0,0,0,0.02,0,0.01,0,0.08,0,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0,0.01,0,0,"8"
"237","36061007500",G3600610007500,"61","7500","2010","36",Manhattan,"61","7500","Census Tract 75, Manhattan","4006","3227","122","150","0","135","0","44","0","0","31","12","0","0","61","51","0","0","0","0","0","0","38","17","0","16","0","0","0","0","0","0","0","0","0","0","0","0","102","0","0",0.81,0.03,0.04,0,0.03,0,0.01,0,0,0.01,0,0,0,0.02,0.01,0,0,0,0,0,0,0.01,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0.03,0,0,"6"
"238","36061002700",G3600610002700,"61","2700","2010","36",Manhattan,"61","2700","Census Tract 27, Manhattan","1292","435","10","0","0","12","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","804","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0",0.34,0.01,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"239","36061000700",G3600610000700,"61","700","2010","36",Manhattan,"61","700","Census Tract 7, Manhattan","4911","3352","213","154","0","166","0","51","0","0","16","27","55","12","7","0","28","13","18","8","73","0","0","345","68","175","0","0","0","0","26","33","12","0","0","0","29","30","0","0","0",0.68,0.04,0.03,0,0.03,0,0.01,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0.01,0,0,0.07,0.01,0.04,0,"0",0,0,0.01,0.01,0,0,"0",0,0.01,0.01,0,0,0,"6"
"240","36061002900",G3600610002900,"61","2900","2010","36",Manhattan,"61","2900","Census Tract 29, Manhattan","6685","1362","608","21","17","71","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","13","23","4453","55","0","0","0","0","0","0","10","0","0","0","0","0","0","0","33","0",0.2,0.09,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.01,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
