field_1,Join2,GISJOIN,County,Tract,CensusYEAR,STATEA,COUNTY_1,COUNTYA,TRACTA,Census_ID,Total_Resid,OnlyEnglis,Spanish,French,FrenchCreo,Italian,Portuguese,German,Yiddish,OtherWGerm,Scandinavi,Greek,Russian,Polish,SerboCroat,OtherSlavi,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndoE,Chinese,Japanese,Korean,MonKhmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacIs,Navajo,OtherAmerI,Hungarian,Arabic,Hebrew,African,OtherOther,P_English,P_Spanish,P_French,P_FrenchCr,P_Italian,P_Portugue,P_German,P_Yiddish,P_OtherWGe,P_Scandina,P_Greek,P_Russian,P_Polish,P_SerboCro,P_OtherSla,P_Armenian,P_Persian,P_Gujarati,P_Hindi,P_Urdu,P_OtherInd,P_OtherI_1,P_Chinese,P_Japanese,P_Korean,P_MonKhmer,P_Hmong,P_Thai,P_Laotian,P_Vietname,P_OtherAsi,P_Tagalog,P_OtherPac,P_Navajo,P_OtherAme,P_Hungaria,P_Arabic,P_Hebrew,P_African,P_OtherOth,LanguageCo
"1","36085001700",G3600850001700,"85","1700","2010","36",Staten Island,"85","1700","Census Tract 17, Staten Island","1392","540","538","0","12","0","0","0","0","0","0","0","0","61","54","0","0","0","0","0","0","157","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0",0.39,0.39,0,0.01,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0.11,0,0,0,0,0,"0",0,0,0,0,0.02,0,"0",0,0,0,0,0,0,"6"
"2","36085000600",G3600850000600,"85","600","2010","36",Staten Island,"85","600","Census Tract 6, Staten Island","2162","1192","434","27","0","56","0","0","0","0","0","21","255","12","10","0","0","0","0","0","0","0","29","8","0","48","0","0","0","0","0","63","7","0","0","0","0","0","0","0","0",0.55,0.2,0.01,0,0.03,0,0,0,0,0,0.01,0.12,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,"0",0,0,0,0.03,0,0,"0",0,0,0,0,0,0,"6"
"3","36085000700",G3600850000700,"85","700","2010","36",Staten Island,"85","700","Census Tract 7, Staten Island","4368","3231","873","81","0","0","0","0","0","0","0","0","35","0","0","0","0","0","21","54","0","0","7","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0",0.74,0.2,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"3"
"4","36085001800",G3600850001800,"85","1800","2010","36",Staten Island,"85","1800","Census Tract 18, Staten Island","879","712","110","0","5","0","0","8","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0",0.81,0.13,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.04,0,"3"
"5","36085000300",G3600850000300,"85","300","2010","36",Staten Island,"85","300","Census Tract 3, Staten Island","1575","975","127","21","0","19","0","0","0","0","0","0","0","57","14","0","0","0","0","31","0","241","0","69","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","4",0.62,0.08,0.01,0,0.01,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0.02,0,0.15,0,0.04,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.01,0,0,0,"6"
"6","36085000800",G3600850000800,"85","800","2010","36",Staten Island,"85","800","Census Tract 8, Staten Island","5175","3050","864","0","0","46","0","8","0","0","0","0","92","162","0","22","0","0","0","0","0","0","88","390","19","0","0","0","0","0","0","27","246","0","0","0","0","161","0","0","0",0.59,0.17,0,0,0.01,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0,0,0,0,0.02,0.08,0,0,0,"0",0,0,0,0.01,0.05,0,"0",0,0,0.03,0,0,0,"8"
"7","36085000900",G3600850000900,"85","900","2010","36",Staten Island,"85","900","Census Tract 9, Staten Island","1740","972","396","44","0","0","0","0","0","0","72","7","0","0","0","0","0","0","0","0","0","14","46","166","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0",0.56,0.23,0.03,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.1,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0,0,0,0,"6"
"8","36085002001",G3600850002001,"85","2001","2010","36",Staten Island,"85","2001","Census Tract 20.01, Staten Island","2460","1179","124","12","0","106","0","5","0","0","0","0","175","0","28","47","0","0","0","19","0","0","297","167","0","21","0","0","0","0","192","0","0","0","0","0","0","88","0","0","0",0.48,0.05,0,0,0.04,0,0,0,0,0,0,0.07,0,0.01,0.02,0,0,0,0.01,0,0,0.12,0.07,0,0.01,0,"0",0,0,0.08,0,0,0,"0",0,0,0.04,0,0,0,"9"
"9","36085002002",G3600850002002,"85","2002","2010","36",Staten Island,"85","2002","Census Tract 20.02, Staten Island","2796","1766","98","9","0","80","13","0","0","0","0","64","186","153","0","0","0","0","0","24","0","0","85","200","0","20","0","0","0","0","0","11","33","0","0","0","0","54","0","0","0",0.63,0.04,0,0,0.03,0,0,0,0,0,0.02,0.07,0.05,0,0,0,0,0,0.01,0,0,0.03,0.07,0,0.01,0,"0",0,0,0,0,0.01,0,"0",0,0,0.02,0,0,0,"9"
"10","36085013204",G3600850013204,"85","13204","2010","36",Staten Island,"85","13204","Census Tract 132.04, Staten Island","4439","3454","109","0","0","361","20","0","12","0","0","0","100","10","25","0","0","0","0","0","0","0","77","150","0","13","0","0","0","0","0","48","60","0","0","0","0","0","0","0","0",0.78,0.02,0,0,0.08,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0.02,0.03,0,0,0,"0",0,0,0,0.01,0.01,0,"0",0,0,0,0,0,0,"6"
"11","36085002100",G3600850002100,"85","2100","2010","36",Staten Island,"85","2100","Census Tract 21, Staten Island","3295","1737","941","0","0","14","0","0","0","0","10","0","45","0","0","56","0","0","0","0","0","39","66","197","0","0","0","0","0","0","0","103","0","0","0","0","0","87","0","0","0",0.53,0.29,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0.01,0.02,0.06,0,0,0,"0",0,0,0,0.03,0,0,"0",0,0,0.03,0,0,0,"7"
"12","36085002700",G3600850002700,"85","2700","2010","36",Staten Island,"85","2700","Census Tract 27, Staten Island","2031","1163","426","7","0","11","0","0","8","0","0","0","0","0","0","0","0","0","0","0","317","0","0","54","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0",0.57,0.21,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0.03,0,0,0,"0",0,0,0,0,0.02,0,"0",0,0,0,0,0,0,"5"
"13","36085002900",G3600850002900,"85","2900","2010","36",Staten Island,"85","2900","Census Tract 29, Staten Island","4445","2750","1319","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","158","79","0","0","0","0","0","0","0","0","139","0","0","0","0","0","0","0","0",0.62,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0,0,0,"0",0,0,0,0,0.03,0,"0",0,0,0,0,0,0,"5"
"14","36085001100",G3600850001100,"85","1100","2010","36",Staten Island,"85","1100","Census Tract 11, Staten Island","3050","1463","1206","88","17","9","0","5","0","0","0","41","0","0","0","10","0","0","0","0","0","80","0","23","0","0","0","0","0","0","0","46","0","0","0","0","0","0","0","62","0",0.48,0.4,0.03,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0,0,0,"0",0,0,0,0.02,0,0,"0",0,0,0,0,0.02,0,"6"
"15","36085003300",G3600850003300,"85","3300","2010","36",Staten Island,"85","3300","Census Tract 33, Staten Island","2820","1967","255","8","35","11","0","27","0","15","0","13","36","31","9","0","0","0","0","0","13","0","322","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0",0.7,0.09,0,0.01,0,0,0.01,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.11,0.02,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"4"
"16","36085003600",G3600850003600,"85","3600","2010","36",Staten Island,"85","3600","Census Tract 36, Staten Island","2159","1025","257","6","0","19","0","0","0","25","15","0","78","223","17","6","0","0","0","0","20","0","91","229","0","0","0","0","0","0","0","0","89","0","0","0","0","59","0","0","0",0.47,0.12,0,0,0.01,0,0,0,0.01,0.01,0,0.04,0.1,0.01,0,0,0,0,0,0.01,0,0.04,0.11,0,0,0,"0",0,0,0,0,0.04,0,"0",0,0,0.03,0,0,0,"8"
"17","36085003900",G3600850003900,"85","3900","2010","36",Staten Island,"85","3900","Census Tract 39, Staten Island","3012","2480","236","0","0","14","0","14","0","0","0","0","0","9","5","0","0","0","0","13","0","23","0","31","35","0","0","0","0","0","0","0","1","0","0","0","0","15","0","136","0",0.82,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.05,0,"3"
"18","36085004000",G3600850004000,"85","4000","2010","36",Staten Island,"85","4000","Census Tract 40, Staten Island","11510","6219","2406","148","66","111","0","38","0","0","11","0","0","115","0","0","0","0","0","0","289","0","36","1364","0","0","71","0","0","0","0","33","29","0","0","0","0","64","0","510","0",0.54,0.21,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.03,0,0,0.12,0,0,0.01,"0",0,0,0,0,0,0,"0",0,0,0.01,0,0.04,0,"5"
"19","36085004700",G3600850004700,"85","4700","2010","36",Staten Island,"85","4700","Census Tract 47, Staten Island","3586","2549","551","43","0","67","0","14","0","0","0","0","15","23","0","37","0","0","0","0","0","62","173","0","0","4","0","0","0","0","0","0","0","12","0","0","0","11","0","25","0",0.71,0.15,0.01,0,0.02,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.02,0.05,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"5"
"20","36085005000",G3600850005000,"85","5000","2010","36",Staten Island,"85","5000","Census Tract 50, Staten Island","3472","2282","487","0","0","97","0","0","0","0","0","0","312","38","0","13","0","0","0","0","0","11","60","111","0","18","0","0","0","0","0","0","11","0","0","0","0","22","0","10","0",0.66,0.14,0,0,0.03,0,0,0,0,0,0,0.09,0.01,0,0,0,0,0,0,0,0,0.02,0.03,0,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0.01,0,0,0,"6"
"21","36085005900",G3600850005900,"85","5900","2010","36",Staten Island,"85","5900","Census Tract 59, Staten Island","2408","1848","77","14","0","48","0","0","0","0","0","28","73","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138","40","0","0","10","0","56","0","0","0",0.77,0.03,0.01,0,0.02,0,0,0,0,0,0.01,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0.06,0.02,0,"0",0,0,0.02,0,0,0,"8"
"22","36085006400",G3600850006400,"85","6400","2010","36",Staten Island,"85","6400","Census Tract 64, Staten Island","2977","2073","259","0","0","171","0","0","0","0","0","29","95","35","0","0","0","0","55","59","0","10","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","113","0","0","0",0.7,0.09,0,0,0.06,0,0,0,0,0,0.01,0.03,0.01,0,0,0,0,0.02,0.02,0,0,0.03,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.04,0,0,0,"8"
"23","36085007000",G3600850007000,"85","7000","2010","36",Staten Island,"85","7000","Census Tract 70, Staten Island","8357","4739","852","0","0","349","0","0","0","0","0","0","453","251","0","0","0","0","0","0","543","13","277","243","48","0","0","0","0","0","26","75","74","0","0","0","0","414","0","0","0",0.57,0.1,0,0,0.04,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0,0,0.06,0,0.03,0.03,0.01,0,0,"0",0,0,0,0.01,0.01,0,"0",0,0,0.05,0,0,0,"9"
"24","36085007400",G3600850007400,"85","7400","2010","36",Staten Island,"85","7400","Census Tract 74, Staten Island","3743","1392","361","0","0","107","0","0","0","0","0","0","643","193","20","45","43","0","78","0","157","0","408","28","0","0","0","0","0","0","0","128","140","0","0","0","0","0","0","0","0",0.37,0.1,0,0,0.03,0,0,0,0,0,0,0.17,0.05,0.01,0.01,0.01,0,0.02,0,0.04,0,0.11,0.01,0,0,0,"0",0,0,0,0.03,0.04,0,"0",0,0,0,0,0,0,"10"
"25","36085007500",G3600850007500,"85","7500","2010","36",Staten Island,"85","7500","Census Tract 75, Staten Island","3753","2333","833","0","0","25","0","7","0","0","0","8","8","68","0","0","0","0","0","39","107","51","84","0","0","0","0","0","0","0","0","0","59","0","0","0","0","47","0","84","0",0.62,0.22,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.03,0.01,0.02,0,0,0,0,"0",0,0,0,0,0.02,0,"0",0,0,0.01,0,0.02,0,"7"
"26","36085007700",G3600850007700,"85","7700","2010","36",Staten Island,"85","7700","Census Tract 77, Staten Island","1506","1070","426","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.71,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"2"
"27","36085008100",G3600850008100,"85","8100","2010","36",Staten Island,"85","8100","Census Tract 81, Staten Island","3683","2936","379","42","24","30","0","9","0","0","0","0","39","10","8","9","0","0","0","0","0","0","10","82","0","63","0","0","0","0","0","0","0","0","0","0","0","10","0","32","0",0.8,0.1,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"4"
"28","36085014605",G3600850014605,"85","14605","2010","36",Staten Island,"85","14605","Census Tract 146.05, Staten Island","3567","2961","94","0","0","138","0","0","8","0","10","0","126","0","0","0","0","0","0","19","96","0","24","60","0","0","0","0","0","0","0","0","16","0","0","0","0","15","0","0","0",0.83,0.03,0,0,0.04,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.01,0.03,0,0.01,0.02,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"6"
"29","36085008900",G3600850008900,"85","8900","2010","36",Staten Island,"85","8900","Census Tract 89, Staten Island","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"0"
"30","36085009601",G3600850009601,"85","9601","2010","36",Staten Island,"85","9601","Census Tract 96.01, Staten Island","3459","2162","177","0","0","257","0","11","0","0","0","19","131","33","212","0","0","0","0","26","0","0","212","0","0","38","0","0","0","0","0","72","64","0","0","0","0","45","0","0","0",0.63,0.05,0,0,0.07,0,0,0,0,0,0.01,0.04,0.01,0.06,0,0,0,0,0.01,0,0,0.06,0,0,0.01,0,"0",0,0,0,0.02,0.02,0,"0",0,0,0.01,0,0,0,"8"
"31","36085009602",G3600850009602,"85","9602","2010","36",Staten Island,"85","9602","Census Tract 96.02, Staten Island","3399","2519","251","0","0","51","0","8","0","0","0","0","59","37","0","87","0","0","0","125","0","0","167","0","7","0","0","0","0","0","0","0","24","0","0","0","0","64","0","0","0",0.74,0.07,0,0,0.02,0,0,0,0,0,0,0.02,0.01,0,0.03,0,0,0,0.04,0,0,0.05,0,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0.02,0,0,0,"8"
"32","36085009700",G3600850009700,"85","9700","2010","36",Staten Island,"85","9700","Census Tract 97, Staten Island","2687","2007","440","0","0","87","0","8","0","0","0","0","7","0","0","8","0","0","0","0","0","49","8","0","0","0","0","0","0","0","17","0","16","0","0","0","0","0","0","40","0",0.75,0.16,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,"0",0,0,0.01,0,0.01,0,"0",0,0,0,0,0.01,0,"4"
"33","36085010500",G3600850010500,"85","10500","2010","36",Staten Island,"85","10500","Census Tract 105, Staten Island","4424","3103","887","32","0","27","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","38","57","243","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0",0.7,0.2,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.05,0,0,0,"0",0,0,0,0.01,0,0,"0",0,0,0,0,0,0,"3"
"34","36085011201",G3600850011201,"85","11201","2010","36",Staten Island,"85","11201","Census Tract 112.01, Staten Island","5611","3322","393","0","0","293","0","21","0","0","15","24","400","189","0","0","0","0","22","0","0","0","246","198","0","0","0","0","0","0","0","0","0","0","0","0","11","477","0","0","0",0.59,0.07,0,0,0.05,0,0,0,0,0,0,0.07,0.03,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.09,0,0,0,"8"
"35","36085011202",G3600850011202,"85","11202","2010","36",Staten Island,"85","11202","Census Tract 112.02, Staten Island","5908","3068","595","0","0","84","0","29","0","0","0","0","822","94","0","125","0","0","0","91","0","37","562","206","0","0","0","0","0","0","0","0","0","0","0","0","0","195","0","0","0",0.52,0.1,0,0,0.01,0,0,0,0,0,0,0.14,0.02,0,0.02,0,0,0,0.02,0,0.01,0.1,0.03,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.03,0,0,0,"9"
"36","36085011401",G3600850011401,"85","11401","2010","36",Staten Island,"85","11401","Census Tract 114.01, Staten Island","3030","2325","179","4","0","108","0","0","0","0","0","0","40","12","18","0","0","0","0","0","9","40","95","16","0","0","0","0","0","0","0","0","109","0","0","0","0","34","0","41","0",0.77,0.06,0,0,0.04,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0.01,0.03,0.01,0,0,0,"0",0,0,0,0,0.04,0,"0",0,0,0.01,0,0.01,0,"5"
"37","36085011402",G3600850011402,"85","11402","2010","36",Staten Island,"85","11402","Census Tract 114.02, Staten Island","3260","2122","366","0","0","116","0","0","0","0","0","34","162","10","0","0","0","34","0","0","0","41","20","335","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.65,0.11,0,0,0.04,0,0,0,0,0,0.01,0.05,0,0,0,0,0.01,0,0,0,0.01,0.01,0.1,0,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"5"
"38","36085012100",G3600850012100,"85","12100","2010","36",Staten Island,"85","12100","Census Tract 121, Staten Island","2990","2738","9","0","0","65","0","0","0","0","0","0","18","0","0","8","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","13","0","0","0","0","0","113","0","0","0",0.92,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.04,0,0,0,"3"
"39","36085012200",G3600850012200,"85","12200","2010","36",Staten Island,"85","12200","Census Tract 122, Staten Island","3277","2793","172","8","0","72","0","0","0","0","0","0","18","0","156","0","0","0","0","0","0","29","0","0","9","7","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0",0.85,0.05,0,0,0.02,0,0,0,0,0,0,0.01,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"4"
"40","36085012500",G3600850012500,"85","12500","2010","36",Staten Island,"85","12500","Census Tract 125, Staten Island","2777","1531","762","14","26","24","0","0","0","0","0","8","0","81","8","0","0","0","0","0","19","0","133","63","0","0","0","0","0","0","7","13","21","0","0","0","0","41","0","26","0",0.55,0.27,0.01,0.01,0.01,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.05,0.02,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0.01,0,0.01,0,"5"
"41","36085012804",G3600850012804,"85","12804","2010","36",Staten Island,"85","12804","Census Tract 128.04, Staten Island","4149","2448","239","0","0","72","38","0","23","0","0","11","742","136","0","7","0","0","0","0","0","0","0","241","0","0","0","0","0","0","0","42","15","0","0","0","0","12","45","78","0",0.59,0.06,0,0,0.02,0.01,0,0.01,0,0,0,0.18,0.03,0,0,0,0,0,0,0,0,0,0.06,0,0,0,"0",0,0,0,0.01,0,0,"0",0,0,0,0.01,0.02,0,"7"
"42","36085013201",G3600850013201,"85","13201","2010","36",Staten Island,"85","13201","Census Tract 132.01, Staten Island","1452","1293","10","0","0","67","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","34","17","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0",0.89,0.01,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0,0,0,0,"3"
"43","36085014606",G3600850014606,"85","14606","2010","36",Staten Island,"85","14606","Census Tract 146.06, Staten Island","6677","4905","191","40","0","382","0","0","0","0","14","45","719","134","0","0","0","0","0","0","0","0","48","0","0","0","0","0","0","0","0","0","51","0","0","0","0","130","18","0","0",0.73,0.03,0.01,0,0.06,0,0,0,0,0,0.01,0.11,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0.02,0,0,0,"6"
"44","36085013301",G3600850013301,"85","13301","2010","36",Staten Island,"85","13301","Census Tract 133.01, Staten Island","1257","1064","169","0","0","0","0","17","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.85,0.13,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"2"
"45","36085013302",G3600850013302,"85","13302","2010","36",Staten Island,"85","13302","Census Tract 133.02, Staten Island","2950","1755","862","21","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","43","0","0","0","0","16","0","229","0",0.59,0.29,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0.01,0,0.08,0,"3"
"46","36085013400",G3600850013400,"85","13400","2010","36",Staten Island,"85","13400","Census Tract 134, Staten Island","3826","2933","389","44","0","129","0","23","0","0","0","0","172","9","0","0","0","0","0","0","0","0","39","15","0","23","0","0","0","0","0","40","0","0","0","0","0","10","0","0","0",0.77,0.1,0.01,0,0.03,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,"0",0,0,0,0.01,0,0,"0",0,0,0,0,0,0,"4"
"47","36085013800",G3600850013800,"85","13800","2010","36",Staten Island,"85","13800","Census Tract 138, Staten Island","5946","4988","451","0","0","227","0","0","0","0","0","0","47","46","0","12","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","62","30","34","0","0","0","15","10","0","7",0.84,0.08,0,0,0.04,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0.01,0.01,0.01,"0",0,0,0,0,0,0,"3"
"48","36085014100",G3600850014100,"85","14100","2010","36",Staten Island,"85","14100","Census Tract 141, Staten Island","2570","1232","1089","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","60","22","0","0","0","0","0","0","0","0","129","0","0","0","0","0","0","30","0",0.48,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,"0",0,0,0,0,0.05,0,"0",0,0,0,0,0.01,0,"4"
"49","36085027704",G3600850027704,"85","27704","2010","36",Staten Island,"85","27704","Census Tract 277.04, Staten Island","4343","3014","183","0","0","166","0","0","9","0","0","0","0","26","0","10","0","0","0","0","0","0","94","310","0","235","0","0","0","0","0","95","0","0","0","0","0","137","64","0","0",0.69,0.04,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0.07,0,0.05,0,"0",0,0,0,0.02,0,0,"0",0,0,0.03,0.01,0,0,"8"
"50","36085020804",G3600850020804,"85","20804","2010","36",Staten Island,"85","20804","Census Tract 208.04, Staten Island","4828","3974","76","41","0","283","0","0","0","0","13","0","17","0","0","120","0","7","0","33","0","0","43","141","0","59","0","0","0","0","0","0","0","0","0","0","9","0","12","0","0",0.82,0.02,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0.01,0.03,0,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"5"
"51","36085014700",G3600850014700,"85","14700","2010","36",Staten Island,"85","14700","Census Tract 147, Staten Island","2966","2581","75","34","0","50","0","0","0","0","0","29","10","0","9","0","0","0","59","30","0","0","69","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.87,0.03,0.01,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0.01,0,0,0.02,0.01,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"5"
"52","36085015100",G3600850015100,"85","15100","2010","36",Staten Island,"85","15100","Census Tract 151, Staten Island","4859","4186","304","42","0","0","0","0","15","0","9","0","0","0","74","0","0","0","0","0","67","0","0","0","0","0","0","0","0","0","0","18","114","30","0","0","0","0","0","0","0",0.86,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0,"0",0,0,0,0,0.02,0.01,"0",0,0,0,0,0,0,"4"
"53","36085015400",G3600850015400,"85","15400","2010","36",Staten Island,"85","15400","Census Tract 154, Staten Island","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"0"
"54","36085015601",G3600850015601,"85","15601","2010","36",Staten Island,"85","15601","Census Tract 156.01, Staten Island","5959","5298","265","13","0","120","0","0","0","0","58","0","0","0","0","111","0","0","0","0","0","0","0","0","0","52","0","0","26","0","0","0","0","0","0","0","0","16","0","0","0",0.89,0.04,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"4"
"55","36085015602",G3600850015602,"85","15602","2010","36",Staten Island,"85","15602","Census Tract 156.02, Staten Island","3066","2710","0","0","0","129","0","31","0","0","0","0","80","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","26","0","0","0","0","0","71","0","0",0.88,0,0,0,0.04,0,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0,0.02,0,0,"4"
"56","36085015603",G3600850015603,"85","15603","2010","36",Staten Island,"85","15603","Census Tract 156.03, Staten Island","4166","3105","243","0","0","133","0","9","0","0","0","24","543","28","0","0","0","0","0","0","0","0","20","0","0","4","0","0","0","0","0","0","0","0","0","0","0","34","23","0","0",0.75,0.06,0,0,0.03,0,0,0,0,0,0.01,0.13,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0.01,0.01,0,0,"4"
